"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"27","PH051609000",14.081,122.86,24.9417861725682,16.7394538070928,175.6476084514,1080,540,0,3.06500380822764,2.05704953572325,1080,540,540,0,0,0,0,0
"28","PH051610000",14.151,122.38,23.4635302480651,15.7473357369564,188.825336144977,1080,360,0,2.93368278615551,1.96891462158088,1080,360,540,0,0,0,0,0
"29","PH051611000",14.141,122.92,26.1020649129155,17.5181643710842,166.962382453081,1080,540,0,3.14500551759835,2.1107419581197,1080,540,540,0,0,0,0,0
"30","PH051612000",14.253,122.9,27.5961866796283,18.5209306574687,156.421324208764,1260,540,0,3.2416790645166,2.17562353323262,1260,540,720,0,0,0,0,0
"31","PH051701000",13.482,123.36,19.7923810768757,13.2834772328025,222.471173599126,900,0,0,2.72644882626176,1.82983142702132,900,0,0,0,0,0,0,0
"32","PH051702000",13.348,123.25,18.0777669032706,12.1327294652823,240.906774967511,900,0,0,2.57624063395712,1.72902055970276,900,0,0,0,0,0,0,0
"33","PH051703000",13.32,123.31,18.0519443193239,12.1153988720295,241.197162455159,720,0,0,2.57385043344679,1.72741639828644,720,0,0,0,0,0,0,0
"34","PH051704000",13.684,123.2,21.1184176393643,14.1734346572915,207.812446829958,900,0,0,2.84253473614225,1.90774143365251,900,0,360,0,0,0,0,0
"35","PH051705000",13.43,123.51,19.8256759181138,13.3058227638348,222.127730964331,900,0,0,2.7355735582247,1.8359554082045,900,0,0,0,0,0,0,0
"36","PH051706000",13.456,123.26,19.116854646662,12.830103789706,229.528068841923,900,0,0,2.66897219041567,1.79125650363468,900,0,0,0,0,0,0,0
"37","PH051707000",13.741,123.07,21.4931321704016,14.4249209197326,204.391713134688,1080,0,0,2.84349776072637,1.90838775887676,1080,0,360,0,0,0,0,0
"38","PH051708000",13.71,123.27,21.7079257464897,14.5690776822078,203.771937265982,900,0,0,2.89181765027247,1.94081721494796,900,0,360,0,0,0,0,0
"39","PH051709000",13.624,123.15,20.3194987051145,13.637247453097,215.327542357879,900,0,0,2.77193734740557,1.86036063584267,900,0,360,0,0,0,0,0
"40","PH051710000",13.644,123.13,20.5056553574189,13.7621848036369,213.548921294423,900,0,0,2.78177776232168,1.86696494115549,900,0,360,0,0,0,0,0
"41","PH051711000",13.798,123.83,25.2605786739814,16.9534085060278,173.38970561933,1080,540,0,3.1900454969665,2.14097013219228,1080,540,720,0,0,0,0,0
"42","PH051712000",13.949,122.68,22.2973266969588,14.9646487899052,197.261738525455,900,0,0,2.87563805812025,1.92995842826862,900,0,360,0,0,0,0,0
"43","PH051713000",13.602,123.13,20.0290844218331,13.442338538143,218.137132836603,900,0,0,2.74578542765773,1.84280901185083,900,0,180,0,0,0,0,0
"44","PH051714000",13.866,123.63,25.4365233490711,17.0714921805846,172.014227534728,1080,540,0,3.17537852438984,2.13112652643613,1080,540,720,0,0,0,0,0
"45","PH051715000",13.73,123.43,22.7714593270485,15.2828586087574,194.134571401949,900,180,0,2.97072358116507,1.99377421554703,900,180,540,0,0,0,0,0
"46","PH051716000",13.451,123.43,19.7557222035446,13.2588739621105,222.846408952025,900,0,0,2.72496335487878,1.8288344663616,900,0,0,0,0,0,0,0
"47","PH051717000",13.822,123.51,24.2785592554345,16.2943350707614,181.291379389368,1080,540,0,3.08642432456708,2.07142572118596,1080,540,540,0,0,0,0,0
"48","PH051718000",13.665,122.97,20.3204179664137,13.6378644069891,215.319414731005,900,0,0,2.74083891311989,1.83948920343617,900,0,180,0,0,0,0,0
"49","PH051719000",13.853,122.89,22.2086336031143,14.9051232235666,198.033671513294,900,0,0,2.87286526238932,1.92809749153646,900,0,540,0,0,0,0,0
"50","PH051720000",13.672,123.16,20.8957323563055,14.0239814471849,209.876515256793,900,0,0,2.81712407965956,1.89068730178494,900,0,360,0,0,0,0,0
"51","PH051721000",13.595,123.19,20.1192806807821,13.5028729401222,217.764139083233,900,0,0,2.76169147064152,1.85348420848424,900,0,360,0,0,0,0,0
