"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"52","PH051722000",13.515,123.19,19.0769446318778,12.8033185448845,54.4944400534245,360,0,0,2.90908706043939,1.95240742311368,360,0,0,0,0,0,0,0
"53","PH051723000",13.396,123.34,19.7149490188596,13.2315094086306,47.4531413336898,360,0,0,2.88710105889276,1.93765171737769,360,0,0,0,0,0,0,0
"54","PH051724000",13.643,123.25,18.0454350192006,12.1110302142286,67.7841326005509,360,0,0,2.85623345718126,1.91693520616192,360,0,0,0,0,0,0,0
"55","PH051725000",13.581,123.38,18.23915375034,12.2410427854631,66.7852318528404,360,0,0,2.82998763523078,1.89932056055757,360,0,0,0,0,0,0,0
"56","PH051726000",13.589,123.07,19.5001875710274,13.0873742087432,49.151231413071,360,0,0,2.93110962638703,1.96718766871613,360,0,0,0,0,0,0,0
"57","PH051727000",13.555,122.99,18.5280164068313,12.4349103401552,40.5387142127651,540,0,0,2.93566098417138,1.97024227125596,540,0,0,0,0,0,0,0
"58","PH051728000",13.589,123.29,18.0288967319593,12.0999306925901,67.9935790865334,360,0,0,2.85795226777001,1.91808877031544,360,0,0,0,0,0,0,0
"59","PH051729000",13.747,123.72,16.5230481864545,11.0892940848688,89.2299160070647,180,0,0,2.6577482886313,1.78372368364517,180,0,0,0,0,0,0,0
"60","PH051730000",13.865,122.77,18.1986468806641,12.2138569668887,65.8383387704225,360,0,0,2.95883229447111,1.98579348622222,360,0,0,0,0,0,0,0
"61","PH051731000",13.561,123.51,18.4442810393303,12.3787121069331,64.2094047206859,360,0,0,2.79212329373766,1.87390825083064,360,0,0,0,0,0,0,0
"62","PH051732000",13.524,123.12,19.5310596109624,13.1080936986325,48.6096155791526,360,0,0,2.92932881959785,1.9659924963744,360,0,0,0,0,0,0,0
"63","PH051733000",13.692,123.55,17.270712830432,11.5910824365316,79.1633638909641,360,0,0,2.73694099828845,1.83687315321373,360,0,0,0,0,0,0,0
"64","PH051734000",13.794,122.96,18.4896517027192,12.4091622165901,62.1244092954616,540,0,0,2.91347952430387,1.95535538543884,540,0,0,0,0,0,0,0
"65","PH051735000",14.016,123.29,15.622146882941,10.4846623375443,101.053986175441,180,0,0,2.71895119872872,1.82479946223404,180,0,0,0,0,0,0,0
"66","PH051736000",13.626,123.46,17.8874908432986,12.0050274116098,71.2215715823032,360,0,0,2.78932063381163,1.87202727101452,360,0,0,0,0,0,0,0
"67","PH051737000",13.867,123.35,16.2084301481837,10.8781410390494,92.4469496599965,360,0,0,2.74930967231708,1.84517427672287,360,0,0,0,0,0,0,0
"68","PH052001000",13.962,124.26,13.3586183673343,8.96551568277472,137.14062603417,0,0,0,2.38934018690976,1.60358401806024,0,0,0,0,0,0,0,0
"69","PH052002000",13.694,124.36,14.7365288877699,9.89028784414089,108.88492030945,0,0,0,2.44871065194216,1.64342996774641,0,0,0,0,0,0,0,0
"70","PH052003000",13.605,124.3,15.4554917192022,10.3728132343639,98.0463230596448,180,0,0,2.50123110335359,1.67867859285476,180,0,0,0,0,0,0,0
"71","PH052004000",13.873,124.18,14.1065461483905,9.46748063650368,125.74858279801,0,0,0,2.44908282730773,1.64367974987096,0,0,0,0,0,0,0,0
"72","PH052005000",13.785,124.35,14.12552251144,9.48021645063087,118.672485751158,0,0,0,2.42016601579772,1.62427249382397,0,0,0,0,0,0,0,0
"73","PH052006000",14.031,124.19,13.2670416942148,8.90405482833208,140.571404174161,0,0,0,2.38947765957301,1.60367628159262,0,0,0,0,0,0,0,0
"74","PH052007000",13.91,124.29,13.4883283232906,9.05256934449037,131.639300225233,0,0,0,2.39717580542248,1.6088428224312,0,0,0,0,0,0,0,0
"75","PH052008000",13.662,124.11,15.5630952583124,10.4450303747063,102.995361062827,360,0,0,2.5489021019391,1.71067255163698,360,0,0,0,0,0,0,0
"76","PH052009000",13.704,124.25,14.7669766267664,9.91072256829957,108.41763255898,0,0,0,2.48424133884805,1.66727606634098,0,0,0,0,0,0,0,0
"77","PH052010000",13.847,124.31,13.7568799127978,9.23280531060255,124.899573150703,0,0,0,2.41239256597318,1.61905541340482,0,0,0,0,0,0,0,0
"78","PH052011000",13.601,124.19,15.5487732880522,10.435418314129,96.6479100220125,360,0,0,2.54168280452159,1.70582738558496,360,0,0,0,0,0,0,0
"79","PH054101000",12.439,123.34,18.5916686073479,12.4776299378174,62.3061649546596,360,0,0,2.69128713708524,1.80623297790956,360,0,0,0,0,0,0,0
"80","PH054102000",12.424,123.48,18.5663600446201,12.4606443252484,62.6200639808771,360,0,0,2.68068519059248,1.79911757757885,360,0,0,0,0,0,0,0
"81","PH054103000",12.021,123.23,15.0645174127965,10.1104143710044,110.329817487206,180,0,0,2.46219463138881,1.65247961838175,180,0,0,0,0,0,0,0
"82","PH054104000",12.4,123.76,18.3738926744276,12.3314715935755,58.2042177934019,360,0,0,2.65945211066573,1.78486718836626,360,0,0,0,0,0,0,0
"83","PH054105000",12.001,123.95,16.3453750382213,10.9700503612223,85.0133898361215,180,0,0,2.45221729880182,1.64578342201464,180,0,0,0,0,0,0,0
"84","PH054106000",12.019,123.75,15.8664674158092,10.6486358495364,91.8278846536797,180,0,0,2.464267460615,1.65387077893624,180,0,0,0,0,0,0,0
"85","PH054107000",12.868,123.22,18.0314795970093,12.1016641590666,29.2317805102802,540,0,0,2.79079503307056,1.8730168007185,540,0,0,0,0,0,0,0
"86","PH054108000",12.154,123.85,17.2061904215834,11.5477788064318,73.3944012655209,360,0,0,2.53448722662559,1.70099813867489,360,0,0,0,0,0,0,0
"87","PH054109000",11.812,124.01,15.0427689134454,10.095818062715,104.042745686033,180,0,0,2.35185696756662,1.57842749501115,180,0,0,0,0,0,0,0
"88","PH054110000",12.226,123.31,16.738991322232,11.2342223639141,86.1923775510806,180,0,0,2.57663924724408,1.72928808539871,180,0,0,0,0,0,0,0
"89","PH054111000",12.337,123.56,17.7368151642239,11.9039027947812,73.0715859354686,360,0,0,2.63442462732547,1.76807021968153,360,0,0,0,0,0,0,0
"90","PH054112000",12.203,123.52,16.6484334022363,11.1734452364002,87.424813301383,360,0,0,2.56424590351587,1.72097040504421,360,0,0,0,0,0,0,0
"91","PH054113000",12.274,123.66,17.0391926327551,11.4356997535269,75.6239729721227,360,0,0,2.59999418106619,1.74496253762832,360,0,0,0,0,0,0,0
"92","PH054114000",12.63,123.63,19.3688573675436,12.9992331325796,43.7097544377705,360,0,0,2.75374818798142,1.84815314629625,360,0,0,0,0,0,0,0
"93","PH054115000",12.098,123.89,16.927270464618,11.3605842044416,77.0900271454567,360,0,0,2.50434158178446,1.68076616227145,360,0,0,0,0,0,0,0
"94","PH054116000",11.856,124.03,15.3911046873394,10.3296004613016,98.8540154906319,180,0,0,2.37480354355327,1.59382788157937,180,0,0,0,0,0,0,0
"95","PH054117000",11.928,123.89,15.6661742114336,10.5142108801568,94.7463059496721,180,0,0,2.41448913399525,1.62046250603708,180,0,0,0,0,0,0,0
"96","PH054118000",12.479,123.72,18.5281197122563,12.4349796726552,56.7573060010407,360,0,0,2.69738873287984,1.81032800864419,360,0,0,0,0,0,0,0
"97","PH054119000",12.557,123.69,19.248168814872,12.918234103941,53.8812601792848,360,0,0,2.73213332943851,1.8336465298245,360,0,0,0,0,0,0,0
"98","PH054120000",13.058,123.02,19.674190873792,13.2041549488537,37.6895725907436,360,0,0,2.91140740091326,1.9539646985995,360,0,0,0,0,0,0,0
"99","PH054121000",12.171,123.76,16.9348855861645,11.3656950242715,77.0003825134088,360,0,0,2.5449127929264,1.70799516303785,360,0,0,0,0,0,0,0
"100","PH056202000",12.833,124.11,17.7830575789153,11.9349379724264,13.0713196714026,180,0,180,2.53107857016872,1.69871044977767,180,0,0,0,0,0,0,0
"101","PH056203000",12.684,123.92,18.7633435450773,12.5928480168304,28.0127643941497,180,0,0,2.6526294646705,1.78028823132248,180,0,0,0,0,0,0,0
"102","PH056204000",12.757,124.1,17.6705197897005,11.8594092548326,8.36937221125693,360,0,180,2.4835454128359,1.66680900190329,360,0,0,0,0,0,0,0
"103","PH056205000",12.859,124.04,18.4222409108965,12.3639200744272,20.1353942149864,180,0,0,2.6036502542071,1.74741627799134,180,0,0,0,0,0,0,0
"104","PH056206000",12.95,123.81,18.9573495511334,12.7230533900224,38.1187587945435,360,0,0,2.75763825809525,1.85076393160755,360,0,0,0,0,0,0,0
"105","PH056207000",12.971,123.57,17.425435796333,11.6949233532436,11.9893974562793,360,0,180,2.63458197902015,1.76817582484574,360,0,0,0,0,0,0,0
"106","PH056208000",12.925,124.1,18.004121859906,12.0833032616819,22.800783363356,180,0,0,2.60749555658206,1.74999701784031,180,0,0,0,0,0,0,0
"107","PH056209000",12.712,124.02,18.1417411262302,12.1756651853894,16.7803340284403,180,0,180,2.56656134461663,1.72252439236016,180,0,0,0,0,0,0,0
"108","PH056210000",12.811,123.97,18.8853981925148,12.6747638875938,23.6928096097541,180,0,0,2.63925552614257,1.77131243365273,180,0,0,0,0,0,0,0
"109","PH056211000",12.809,123.88,19.5945309625053,13.1506919211445,32.9204394407242,360,0,0,2.71003210551336,1.81881349363313,360,0,0,0,0,0,0,0
"110","PH056212000",12.589,124.03,17.5090362760867,11.7510310577763,22.3191601465015,180,0,0,2.57700665195267,1.72953466574005,180,0,0,0,0,0,0,0
"111","PH056213000",12.952,123.69,18.4077846470718,12.3542178839408,25.1769587501295,360,0,0,2.71300952693436,1.8208117630432,360,0,0,0,0,0,0,0
"112","PH056214000",13.036,124.15,17.5900252044536,11.8053860432575,33.8273456413759,360,0,0,2.64782475968887,1.77706359710662,360,0,0,0,0,0,0,0
"113","PH056215000",12.657,124.08,17.465076835077,11.7215280772329,13.1745209525723,360,0,180,2.51622648253805,1.68874260573024,360,0,0,0,0,0,0,0
"114","PH056216000",13.018,123.99,18.9718280178728,12.7327704817938,37.4352740532793,360,0,0,2.7134021649195,1.82107527846946,360,0,0,0,0,0,0,0
