"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"53","PH051723000",13.396,123.34,14.9807745714166,10.0542111217561,283.185698947602,0,0,0,3.41290205405493,2.29053829131203,0,0,0,0,0,0,0,0
"54","PH051724000",13.643,123.25,16.5859928682218,11.1315388377328,260.192079492614,720,0,0,3.65941130597611,2.45598074226585,720,0,0,0,0,0,0,0
"55","PH051725000",13.581,123.38,16.416375432782,11.0177016327396,262.545303342345,540,0,0,3.62691405407779,2.43417050609247,540,0,0,0,0,0,0,0
"56","PH051726000",13.589,123.07,15.7014588733281,10.537891861294,272.757453732509,360,0,0,3.54777285045041,2.38105560432913,360,0,0,0,0,0,0,0
"57","PH051727000",13.555,122.99,15.3057713921684,10.2723297934016,279.652908480832,360,0,0,3.48821232092685,2.34108209458178,360,0,0,0,0,0,0,0
"58","PH051728000",13.589,123.29,16.2758315354887,10.9233768694555,264.516349654045,540,0,0,3.61025427865758,2.42298944876348,540,0,0,0,0,0,0,0
"59","PH051729000",13.747,123.72,18.3836988697613,12.3380529327257,230.62677562235,1080,0,0,3.91866776120141,2.62997836322243,1080,0,0,0,0,0,0,0
"60","PH051730000",13.865,122.77,17.277847613123,11.5958708812906,254.665311883157,900,0,0,3.768269182234,2.52903971962013,900,0,0,0,0,0,0,0
"61","PH051731000",13.561,123.51,16.5107324247421,11.0810284729812,258.650792113999,720,0,0,3.64114335499914,2.44372037248264,720,0,0,0,0,0,0,0
"62","PH051732000",13.524,123.12,15.3825053110666,10.32382906783,277.467426030622,360,0,0,3.49084150268368,2.34284664609643,360,0,0,0,0,0,0,0
"63","PH051733000",13.692,123.55,17.643171708885,11.8410548381779,243.608145030818,900,0,0,3.80325810675195,2.55252221929661,900,0,0,0,0,0,0,0
"64","PH051734000",13.794,122.96,17.1483674862398,11.508971467275,256.322078185531,900,0,0,3.74497161971709,2.51340377162221,900,0,0,0,0,0,0,0
"65","PH051735000",14.016,123.29,19.8013307739412,13.2894837409001,219.763904622009,1080,0,0,4.11093512362813,2.75901686149539,1080,0,0,0,0,0,0,0
"66","PH051736000",13.626,123.46,16.9322808012106,11.36394684645,254.476464726472,720,0,0,3.70079577359938,2.48375555275126,720,0,0,0,0,0,0,0
"67","PH051737000",13.867,123.35,18.6742900978841,12.5330806026068,233.096385160114,900,0,0,3.94966106787016,2.65077924018132,900,0,0,0,0,0,0,0
"68","PH052001000",13.962,124.26,21.5809421010679,14.483853759106,191.074868300461,1260,0,0,4.34883991461087,2.91868450645025,1260,0,540,0,0,0,0,0
"69","PH052002000",13.694,124.36,19.3500333377807,12.9865995555575,214.372656143196,1080,0,0,4.03732713816047,2.70961552896676,1080,0,0,0,0,0,0,0
"70","PH052003000",13.605,124.3,18.4364555704274,12.3734601143808,225.913579203847,1080,0,0,3.91198240013172,2.62549154371257,1080,0,0,0,0,0,0,0
"71","PH052004000",13.873,124.18,20.5726270665891,13.8071322594558,203.177986123869,1260,0,0,4.2106932924232,2.82596865263302,1260,0,360,0,0,0,0,0
"72","PH052005000",13.785,124.35,20.1057038987102,13.4937610058458,205.263356508661,1080,0,0,4.14836842815662,2.78413988466887,1080,0,180,0,0,0,0,0
"73","PH052006000",14.031,124.19,22.1719334577457,14.8804922535206,185.695859055585,1260,0,0,4.41758348427725,2.96482113038741,1260,0,540,0,0,0,0,0
"74","PH052007000",13.91,124.29,21.0973885042169,14.1593211437698,194.935599674911,1080,0,0,4.2905025511436,2.87953191351919,1080,0,540,0,0,0,0,0
"75","PH052008000",13.662,124.11,18.5392447599051,12.4424461475873,227.669367541084,1080,0,0,3.92880390842163,2.6367811465917,1080,0,0,0,0,0,0,0
