fpr,tpr,thresholds,auc
0.3233333333333333,0.7452471482889734,0.40625383660478404,0.788979721166033
0.32666666666666666,0.7452471482889734,0.40560847486791424,0.788979721166033
0.32666666666666666,0.7490494296577946,0.4053163254512112,0.788979721166033
0.33,0.7490494296577946,0.4051479837493606,0.788979721166033
0.33,0.7756653992395437,0.3942383242525497,0.788979721166033
0.3333333333333333,0.7756653992395437,0.3929607386901865,0.788979721166033
0.3333333333333333,0.7870722433460076,0.3893747511971447,0.788979721166033
0.34,0.7870722433460076,0.38248044735271275,0.788979721166033
0.34,0.7946768060836502,0.3818642058370513,0.788979721166033
0.3433333333333333,0.7946768060836502,0.3808383884608068,0.788979721166033
0.3433333333333333,0.7984790874524715,0.37964088042430316,0.788979721166033
0.35,0.7984790874524715,0.3740647119846199,0.788979721166033
0.35,0.8022813688212928,0.3729032507337227,0.788979721166033
0.35333333333333333,0.8022813688212928,0.3674334234571661,0.788979721166033
0.35333333333333333,0.8098859315589354,0.36591926845423123,0.788979721166033
0.3566666666666667,0.8098859315589354,0.3601245033833819,0.788979721166033
0.3566666666666667,0.8136882129277566,0.3572354933914897,0.788979721166033
0.36333333333333334,0.8136882129277566,0.35103876437695136,0.788979721166033
0.36333333333333334,0.8212927756653993,0.3481838147269878,0.788979721166033
0.37,0.8212927756653993,0.3465910838094812,0.788979721166033
0.37,0.8250950570342205,0.34643808501631856,0.788979721166033
0.38333333333333336,0.8250950570342205,0.3367703312159606,0.788979721166033
0.38333333333333336,0.8288973384030418,0.3355306870561953,0.788979721166033
0.4033333333333333,0.8288973384030418,0.3310119405088291,0.788979721166033
0.4033333333333333,0.8326996197718631,0.3306224842972985,0.788979721166033
0.4266666666666667,0.8326996197718631,0.3184582356702487,0.788979721166033
0.4266666666666667,0.8365019011406845,0.31675695765580675,0.788979721166033
0.44,0.8365019011406845,0.31072531310248414,0.788979721166033
0.44,0.8403041825095057,0.30930026032954216,0.788979721166033
0.44666666666666666,0.8403041825095057,0.3070774167796633,0.788979721166033
0.44666666666666666,0.8555133079847909,0.30258752276336526,0.788979721166033
0.48,0.8555133079847909,0.2844993310080642,0.788979721166033
0.48,0.870722433460076,0.2751559360536102,0.788979721166033
0.48333333333333334,0.870722433460076,0.27435362039846595,0.788979721166033
0.48333333333333334,0.8859315589353612,0.2696968163550229,0.788979721166033
0.5066666666666667,0.8859315589353612,0.2484558211883681,0.788979721166033
0.5066666666666667,0.8897338403041825,0.24820671932396168,0.788979721166033
0.5233333333333333,0.8897338403041825,0.23201960135412145,0.788979721166033
