typhoon,mun_code,maximum_24h
ketsana2009,PH071205000,0.9041666666666667
ketsana2009,PH013303000,1.6277777777777782
ketsana2009,PH175201000,5.335416666666666
ketsana2009,PH103501000,2.381944444444444
ketsana2009,PH153601000,1.438194444444444
ketsana2009,PH064501000,1.930059523809524
ketsana2009,PH035404000,5.927916666666666
ketsana2009,PH074603000,1.727083333333333
ketsana2009,PH042103000,11.59114583333333
ketsana2009,PH166702000,0.13472222222222222
ketsana2009,PH097226000,1.985714285714286
ketsana2009,PH072207000,2.1281250000000003
ketsana2009,PH063004000,1.2453125
ketsana2009,PH012803000,2.4406250000000003
ketsana2009,PH025003000,3.7208333333333337
ketsana2009,PH030802000,5.238541666666667
ketsana2009,PH052001000,2.788888888888889
ketsana2009,PH112501000,0.7410714285714285
ketsana2009,PH021506000,3.138055555555555
ketsana2009,PH064502000,1.2767857142857144
ketsana2009,PH141102000,2.411458333333334
ketsana2009,PH013304000,1.6697916666666666
ketsana2009,PH126501000,3.2246527777777776
ketsana2009,PH074604000,2.3445312499999997
ketsana2009,PH141103000,1.8664351851851853
ketsana2009,PH175304000,2.2204861111111107
ketsana2009,PH153602000,1.633333333333333
ketsana2009,PH031402000,8.420833333333334
ketsana2009,PH072208000,1.0570833333333332
ketsana2009,PH082602000,0.9080729166666669
ketsana2009,PH082603000,1.0991071428571428
ketsana2009,PH013305000,1.675520833333333
ketsana2009,PH063005000,0.6138888888888889
ketsana2009,PH051702000,2.7750000000000004
ketsana2009,PH041003000,7.456249999999998
ketsana2009,PH143201000,2.336309523809524
ketsana2009,PH054102000,1.8420833333333333
ketsana2009,PH037701000,5.536458333333333
ketsana2009,PH041004000,10.832291666666668
ketsana2009,PH060402000,1.998333333333334
ketsana2009,PH104202000,3.9208333333333343
ketsana2009,PH097224000,1.832291666666667
ketsana2009,PH071206000,0.9359375000000001
ketsana2009,PH153603000,1.1869791666666665
ketsana2009,PH104302000,0.6273809523809525
ketsana2009,PH104303000,0.5412500000000001
ketsana2009,PH031403000,8.314583333333335
ketsana2009,PH021507000,2.3354166666666663
ketsana2009,PH103502000,2.1682291666666673
ketsana2009,PH054103000,0.6770833333333334
ketsana2009,PH015507000,4.598958333333333
ketsana2009,PH036902000,5.090104166666666
ketsana2009,PH025004000,4.352380952380952
ketsana2009,PH063006000,0.6049999999999999
ketsana2009,PH142701000,2.660714285714286
ketsana2009,PH112502000,0.2119047619047619
ketsana2009,PH012902000,2.3239583333333336
ketsana2009,PH060403000,1.9159722222222229
ketsana2009,PH126302000,2.347395833333333
ketsana2009,PH013306000,1.7111111111111106
ketsana2009,PH140101000,2.1086805555555554
ketsana2009,PH012804000,6.077916666666667
ketsana2009,PH015508000,1.2062499999999998
ketsana2009,PH124716000,2.4976562500000004
ketsana2009,PH012811000,2.1796875
ketsana2009,PH112401000,0.9190476190476192
