typhoon,mun_code,pre_max_6h,pre_max_24h,during_total_rainfall,during_max_rainfall,during_mean_rainfall,during_max_1h_intensity,during_max_3h_intensity,during_max_6h_intensity,post_max_6h,post_max_24h
vamco2020,PH012809000,31.360000000000003,60.4,96.5,8.68,3.86,14.32,33.26,56.6,38.06,65.0
vamco2020,PH037706000,83.64545454545454,230.0090909090909,300.29090909090917,11.90909090909091,4.92280178837556,22.42727272727273,63.69090909090909,112.98181818181817,44.26363636363636,81.69090909090909
vamco2020,PH098303000,17.26666666666667,23.8,4.7333333333333325,3.3,0.6761904761904761,3.533333333333333,4.583333333333332,,4.6499999999999995,4.6499999999999995
vamco2020,PH097202000,20.380000000000003,53.38,0.8,0.32,0.1142857142857143,0.42000000000000004,0.8,,3.92,7.34
vamco2020,PH153624000,22.0,25.7,1.0999999999999999,0.3,0.1571428571428571,0.6,1.1,,12.0,14.65
vamco2020,PH023111000,144.37272727272725,312.1454545454545,312.6818181818182,33.518181818181816,6.3812615955473095,60.97272727272727,149.56363636363636,204.63636363636363,60.61818181818182,121.89090909090909
vamco2020,PH045615000,34.15,71.475,313.27500000000003,12.95,5.695909090909091,25.15,67.825,122.15,11.7,15.7
vamco2020,PH082606000,16.1,28.799999999999997,179.72857142857146,6.5,2.462035225048924,12.32857142857143,30.285714285714285,55.82857142857142,36.357142857142854,61.81428571428571
vamco2020,PH140107000,28.8,74.0,141.55,29.1,4.566129032258065,55.55,84.64999999999999,108.80000000000001,27.7,38.699999999999996
vamco2020,PH101304000,21.516666666666666,26.85,0.7499999999999998,0.2833333333333333,0.10714285714285711,0.5499999999999999,0.7333333333333332,,5.583333333333333,9.083333333333332
vamco2020,PH118601000,12.98,13.9,8.31,1.85,1.1871428571428573,3.6399999999999997,8.26,,7.56,10.139999999999999
vamco2020,PH104217000,31.28333333333333,39.38333333333334,12.350000000000001,2.7,1.7642857142857145,5.083333333333334,10.916666666666666,,3.8000000000000003,8.116666666666667
vamco2020,PH031424000,56.00666666666667,91.23333333333333,194.08,8.306666666666667,3.181639344262295,15.633333333333333,38.68666666666667,65.73333333333333,11.786666666666667,17.3
vamco2020,PH056207000,7.4,11.385714285714286,308.7,12.95714285714286,4.607462686567164,24.014285714285712,60.07142857142857,106.1857142857143,37.614285714285714,41.628571428571426
vamco2020,PH063017000,22.799999999999997,36.85,8.45,2.875,1.207142857142857,4.675,7.325,,59.65,72.25
vamco2020,PH071221000,10.900000000000002,21.65,7.325,2.325,1.0464285714285715,3.5250000000000004,7.025,,18.35,25.55
vamco2020,PH083718000,25.35,53.15,19.35,5.175,2.7642857142857147,8.575,18.45,,71.5,154.325
vamco2020,PH074610000,12.024999999999999,22.525,1.35,0.95,0.19285714285714287,0.95,1.35,,2.7,3.0
vamco2020,PH061903000,25.475,34.949999999999996,34.4,4.35,1.376,7.1499999999999995,11.175,18.025000000000002,38.25,46.2
vamco2020,PH097307000,33.475,46.650000000000006,14.65,5.25,2.092857142857143,8.9,14.65,,2.1,3.425
vamco2020,PH012810000,166.36666666666667,238.76666666666665,26.93333333333333,4.033333333333333,1.4175438596491226,5.666666666666666,15.766666666666666,24.299999999999997,65.23333333333333,106.39999999999999
vamco2020,PH063018000,14.95,29.15,2.75,1.475,0.39285714285714285,1.875,2.675,,32.349999999999994,45.8
vamco2020,PH072224000,9.55,25.7,3.5500000000000003,1.425,0.5071428571428572,2.225,3.3000000000000003,,12.799999999999999,13.725
vamco2020,PH175311000,20.813333333333333,23.9,15.493333333333334,2.813333333333333,1.1917948717948719,3.8599999999999994,9.146666666666667,14.346666666666666,12.426666666666668,18.866666666666667
vamco2020,PH061904000,19.17142857142857,36.94285714285714,24.31428571428571,3.2285714285714286,1.2796992481203004,6.114285714285714,9.5,14.042857142857143,44.81428571428572,58.01428571428571
vamco2020,PH097308000,37.137499999999996,43.9625,3.4000000000000004,0.7625,0.48571428571428577,1.3125,3.0625,,4.65,4.999999999999999
vamco2020,PH025007000,124.10909090909091,221.5727272727273,247.53636363636363,15.136363636363637,4.057973174366617,28.481818181818184,71.75454545454546,118.07272727272728,37.25454545454546,79.7909090909091
vamco2020,PH025008000,108.575,211.55833333333334,232.05833333333334,12.141666666666667,3.8042349726775955,23.375,61.50833333333334,102.325,35.324999999999996,67.8
vamco2020,PH023112000,126.73636363636363,356.6909090909091,281.1363636363637,18.09090909090909,5.111570247933885,32.79090909090908,79.45454545454545,133.39999999999998,17.39090909090909,37.17272727272727
vamco2020,PH175312000,11.817647058823528,15.96470588235294,4.335294117647058,0.5529411764705883,0.3334841628959275,1.0764705882352943,2.623529411764706,4.258823529411765,2.941176470588235,7.199999999999998
vamco2020,PH021512000,99.26,285.74,200.26000000000002,14.5,4.657209302325582,22.96,46.16,75.58,48.620000000000005,93.9
vamco2020,PH064508000,19.7125,47.0375,3.7,1.875,0.5285714285714286,2.425,3.3125,,15.2375,32.5875
vamco2020,PH076101000,2.5,7.95,0.30000000000000004,0.2,0.042857142857142864,0.2,0.30000000000000004,,1.6,3.2
vamco2020,PH133908000,13.1,27.7,435.4,34.3,7.137704918032787,64.5,163.4,240.1,14.3,14.3
vamco2020,PH054109000,20.174999999999997,32.8,92.5,7.275,1.8877551020408163,13.775000000000002,32.975,49.625,1.85,4.25
vamco2020,PH126503000,8.4,9.6125,3.2875000000000005,0.8625,0.4696428571428572,1.4500000000000002,3.0375,,4.8,5.2375
vamco2020,PH160303000,24.64782608695652,33.86086956521739,0.5999999999999999,0.3652173913043478,0.0857142857142857,0.4521739130434782,0.5999999999999999,,20.473913043478262,29.882608695652173
vamco2020,PH063019000,48.5,77.5,31.4,3.8,1.256,6.5,15.4,19.8,12.5,14.700000000000001
vamco2020,PH043408000,38.0,85.0,419.13333333333327,34.4,6.8710382513661195,63.79999999999999,131.9,176.33333333333334,4.133333333333333,6.166666666666666
vamco2020,PH175916000,22.75,45.2,140.45,10.35,3.2662790697674415,20.55,52.5,71.35000000000001,14.0,21.35
vamco2020,PH148103000,90.21666666666667,153.78333333333333,101.21666666666667,16.683333333333334,4.048666666666667,28.633333333333333,50.25,61.266666666666666,141.43333333333334,238.55
vamco2020,PH035406000,6.583333333333332,12.783333333333331,258.4666666666667,14.15,3.85771144278607,26.03333333333333,64.08333333333333,105.01666666666668,3.7999999999999994,5.783333333333331
vamco2020,PH034907000,78.61111111111111,120.54444444444445,192.4111111111111,7.0777777777777775,3.1542805100182147,13.244444444444444,34.55555555555556,59.84444444444444,25.244444444444444,48.58888888888889
vamco2020,PH051713000,24.85,43.95,563.75,27.5,8.414179104477611,52.05,137.2,208.0,5.800000000000001,8.9
vamco2020,PH012909000,28.175,68.225,177.59999999999994,24.225,4.799999999999998,46.400000000000006,107.55000000000001,140.925,3.8249999999999997,6.6
vamco2020,PH084807000,30.040000000000003,54.94,250.45999999999998,10.98,3.430958904109589,19.740000000000002,41.1,68.84,25.96,47.58
vamco2020,PH023113000,101.875,303.3,273.55,29.575,5.58265306122449,46.375,103.125,157.6,16.25,34.825
vamco2020,PH153609000,19.75,23.55,1.85,0.525,0.2642857142857143,0.9,1.8,,9.924999999999999,14.425
vamco2020,PH086007000,13.7,27.177777777777777,169.61111111111111,5.566666666666666,2.323439878234399,10.911111111111111,25.977777777777778,44.888888888888886,2.8555555555555547,4.577777777777777
vamco2020,PH051714000,54.019999999999996,119.92,573.54,33.28,7.856712328767123,57.68,133.84,220.45999999999998,24.8,34.35
vamco2020,PH071222000,11.78,21.46,5.98,1.42,0.8542857142857143,2.42,5.4,,14.36,21.54
vamco2020,PH174003000,37.575,46.55,256.675,11.175,4.666818181818182,21.6,41.35000000000001,74.85000000000001,64.825,98.9
vamco2020,PH021513000,121.56,203.18666666666667,129.06,15.693333333333332,4.163225806451613,29.813333333333333,61.92,86.42666666666666,131.74,354.6066666666667
vamco2020,PH042123000,43.475,53.425000000000004,432.25,29.875,7.086065573770492,52.599999999999994,128.175,209.77499999999998,15.25,17.25
vamco2020,PH153819000,14.5,23.66,3.4200000000000004,0.92,0.4885714285714286,1.84,3.4,,3.7,7.9799999999999995
vamco2020,PH042107000,16.375,19.275000000000002,382.925,19.75,5.715298507462687,35.9,100.975,167.14999999999998,10.175,10.95
vamco2020,PH045616000,92.10000000000001,142.42,606.74,20.06,11.031636363636364,39.6,106.44,188.76,42.28,64.72
vamco2020,PH166710000,7.84,16.599999999999998,6.42,0.86,0.2568,1.3599999999999999,2.4,3.5599999999999996,29.58,40.32
vamco2020,PH082607000,16.116666666666667,18.950000000000003,29.616666666666664,3.166666666666667,0.9553763440860215,5.083333333333334,11.083333333333334,14.6,54.13333333333333,96.33333333333333
vamco2020,PH034909000,70.03999999999999,114.4,173.37999999999997,7.840000000000001,2.5877611940298504,13.82,32.800000000000004,61.86,11.16,17.08
vamco2020,PH045617000,56.1,89.68095238095239,278.8285714285715,15.71904761904762,4.161620469083156,29.076190476190476,64.23809523809524,87.36666666666666,8.895238095238096,19.623809523809523
vamco2020,PH126303000,12.891666666666667,14.416666666666666,2.058333333333333,0.6166666666666667,0.294047619047619,1.2083333333333335,2.058333333333333,,1.7333333333333327,3.3916666666666657
vamco2020,PH034910000,75.06923076923076,122.56153846153846,179.46923076923076,6.938461538461539,2.9421185372005043,12.8,30.446153846153845,52.87692307692308,14.515384615384615,32.84615384615385
vamco2020,PH036906000,22.666666666666664,51.63333333333333,159.63333333333333,8.15,2.6169398907103822,16.050000000000004,43.099999999999994,70.23333333333333,15.933333333333332,23.616666666666667
vamco2020,PH071226000,11.0,15.599999999999998,5.949999999999999,2.6333333333333333,0.8499999999999999,2.8833333333333333,4.6,,18.866666666666667,39.833333333333336
vamco2020,PH166711000,8.35,8.883333333333333,10.083333333333334,1.0166666666666666,0.4033333333333334,1.4500000000000002,3.6833333333333336,6.433333333333334,18.816666666666666,34.93333333333333
vamco2020,PH052005000,43.56,57.440000000000005,552.68,30.18,7.570958904109588,59.62,135.34,265.7,7.6,11.44
vamco2020,PH072225000,14.3,25.75,2.9,0.85,0.41428571428571426,1.65,2.9,,8.05,8.95
vamco2020,PH104308000,16.863636363636363,23.263636363636362,0.5454545454545451,0.1272727272727272,0.07792207792207786,0.2454545454545454,0.527272727272727,,14.963636363636363,19.47272727272727
vamco2020,PH082608000,7.58,10.600000000000001,18.259999999999998,1.22,0.5890322580645161,2.12,4.48,8.2,47.120000000000005,78.64
vamco2020,PH104309000,28.75,60.199999999999996,2.5,1.75,0.35714285714285715,2.4,2.5,,3.7,9.4
vamco2020,PH128002000,1.64375,2.3625,1.11875,0.6375,0.15982142857142856,0.66875,1.11875,,3.69375,4.1875
vamco2020,PH175206000,18.416666666666668,20.18333333333333,240.48333333333332,10.816666666666666,4.372424242424242,19.666666666666664,49.71666666666666,88.1,35.483333333333334,44.85
vamco2020,PH051715000,49.762499999999996,90.9375,577.8249999999999,22.1125,7.915410958904109,41.55,108.7625,178.73749999999998,18.3375,23.5625
vamco2020,PH097225000,32.233333333333334,37.43333333333333,0.3333333333333331,0.1666666666666666,0.04761904761904758,0.21666666666666662,0.33333333333333315,,4.8,4.8
vamco2020,PH021514000,86.91538461538461,167.6769230769231,49.46923076923077,7.446153846153846,2.603643724696356,13.284615384615385,28.153846153846153,42.823076923076925,142.6076923076923,364.6153846153846
vamco2020,PH112506000,7.8875,11.7,14.525,3.75,2.075,7.3875,14.2125,,7.3375,14.399999999999999
vamco2020,PH012910000,40.15,100.19999999999999,167.85,29.3,3.903488372093023,57.7,107.25,133.7,7.449999999999999,13.8
vamco2020,PH035407000,10.274999999999999,19.8,226.22499999999997,12.975,3.7086065573770486,23.699999999999996,55.525,91.0,25.625,27.55
vamco2020,PH056208000,20.080000000000002,28.64,301.72,12.98,4.946229508196722,25.9,61.94,110.32,11.440000000000001,13.68
vamco2020,PH031408000,17.0,32.05,250.89999999999998,19.2,3.7447761194029847,30.449999999999996,73.19999999999999,118.65,16.650000000000002,22.35
vamco2020,PH034911000,46.214285714285715,93.14285714285714,161.81428571428572,7.014285714285714,2.415138592750533,13.557142857142857,33.94285714285714,61.128571428571426,22.685714285714287,23.67142857142857
vamco2020,PH063020000,7.35,19.975,3.75,2.175,0.5357142857142857,3.4499999999999997,3.75,,62.849999999999994,90.25
vamco2020,PH045618000,96.67999999999999,143.71,623.42,22.85,11.33490909090909,38.55,103.61,185.36,35.86,38.71
