typhoon,mun_code,rainfall_max_6h
aere2011,PH142701000,0.21071428571428572
aere2011,PH112502000,0.5369047619047619
aere2011,PH012902000,0.21666666666666667
aere2011,PH060403000,2.8181818181818183
aere2011,PH126302000,0.10208333333333335
aere2011,PH013306000,0.9916666666666668
aere2011,PH140101000,1.7861111111111108
aere2011,PH012804000,0.20166666666666666
aere2011,PH015508000,0.9694444444444446
aere2011,PH124716000,0.3822916666666667
aere2011,PH012811000,1.5895833333333336
aere2011,PH112401000,0.7988095238095237
aere2011,PH175202000,2.057575757575758
aere2011,PH012903000,0.5316666666666666
aere2011,PH072209000,4.391666666666667
aere2011,PH175902000,2.9272727272727277
aere2011,PH045803000,0.24090909090909093
aere2011,PH052002000,6.343181818181818
aere2011,PH060602000,1.8597402597402597
aere2011,PH056202000,22.388636363636362
