SID,name_year,ADM3_PCODE,entry_date,exit_date,hours_difference,is_intersect,is_third_pass
2014260N13135,fung-wong2014,PH104214000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH012930000,2014-09-18 18:00:00,2014-09-20 18:00:00,48.0,True,False
2014260N13135,fung-wong2014,PH097218000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH043429000,2014-09-18 15:00:00,2014-09-18 21:00:00,6.0,True,False
2014260N13135,fung-wong2014,PH097219000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH051734000,2014-09-18 06:00:00,2014-09-18 18:00:00,12.0,True,False
2014260N13135,fung-wong2014,PH076106000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097220000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH051735000,2014-09-18 03:00:00,2014-09-18 21:00:00,18.0,True,False
2014260N13135,fung-wong2014,PH015541000,2014-09-18 18:00:00,2014-09-20 00:00:00,30.0,True,False
2014260N13135,fung-wong2014,PH166722000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH157005000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH166723000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH175214000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH175324000,2014-09-19 06:00:00,2014-09-19 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH072247000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH086417000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH021527000,2014-09-18 15:00:00,2014-09-20 12:00:00,45.0,True,False
2014260N13135,fung-wong2014,PH025013000,2014-09-18 15:00:00,2014-09-20 03:00:00,36.0,True,False
2014260N13135,fung-wong2014,PH012822000,2014-09-18 18:00:00,2014-09-20 21:00:00,51.0,True,False
