,year,actual,predicted
2734,2016,0.1636860910564314,0.12632412446014563
2744,2016,0.01280409731113956,0.14804645185982224
2754,2016,0.0269126254180602,0.0637661359219676
2763,2016,0.0,0.054937628310596454
2772,2016,0.0,0.061896675046583784
2782,2016,0.0,0.03210778538037732
2790,2016,0.0,0.04981442875476211
2799,2016,0.0,0.07128725556901344
2807,2016,0.005894314933246884,0.05373698621471525
2816,2016,0.02275703994760969,0.04981997144790713
2825,2016,0.04219204655674103,0.080618617630475
2832,2016,0.1827334361451392,0.08026276363021453
2841,2016,0.0,0.06908919859057304
2848,2016,0.0,0.0772141888255853
2855,2016,0.02095129440265923,0.0984537532338835
2866,2016,0.0,0.06850368335619893
2871,2016,0.0,0.08545825337829804
2876,2016,0.0,0.15592494201131085
2882,2016,0.1226494645416983,0.14021328516743295
2883,2016,0.6007488005483207,0.05291225193094627
2890,2016,0.06264484356894554,0.11903977622000332
2895,2016,0.0,0.18143270521445057
2896,2016,0.0,0.11432124121122347
2901,2016,0.0,0.05837013101242351
2908,2016,0.0,0.05195447171605091
2914,2016,0.9105928458908058,0.09581239882457764
2919,2016,0.0,0.08253819755083767
2924,2016,0.0,0.03246708148632788
2931,2016,0.0,0.18017476570162919
2938,2016,0.0,0.17007963849180455
2947,2016,0.0,0.09592129796161801
2954,2016,0.0,0.0925597525966374
2960,2016,0.0,0.1667754213147549
2967,2016,0.0,0.0715725977711898
2974,2016,0.0,0.09740687378741422
2981,2016,0.0,0.06324607670557349
2988,2016,0.0,0.0457672947381804
2993,2016,0.0,0.017780807302805634
2998,2016,0.0,0.07783792772246134
3005,2016,0.0,0.11646248191624566
3011,2016,0.0,0.10219862515582634
3019,2016,0.0,0.13099762036252016
3025,2016,0.0,0.07443644213475717
3030,2016,0.0,0.04758357881670148
3038,2016,0.0,0.0949317671120054
3047,2016,0.0,0.1245827933018175
3055,2016,0.01016260162601626,0.08532969475112706
3064,2016,0.0,0.09887459531986456
3073,2016,0.0,0.07127182940549881
3079,2016,0.0,0.04694050392691303
3086,2016,0.0,0.1840337757053654
3094,2016,0.0,0.08449694790826225
3103,2016,0.0,0.10600015183224379
3111,2016,0.0,0.12073369301586313
3121,2016,0.0,0.09638045888573861
3130,2016,0.08619788945773692,0.048794936520313074
3137,2016,0.01604589917231001,0.04340380865246633
3146,2016,0.02849002849002849,0.4398451647196655
3147,2016,0.6732495511669658,0.03717371639542671
3155,2016,0.08564858269194668,0.11675143319978115
3164,2016,0.02691280251983573,0.1542573800689115
3165,2016,0.04793521529064997,0.1277443144730284
3172,2016,0.0,9.605040725372675e-06
3179,2016,0.0,0.015567365177447091
3185,2016,0.0,0.01780676352451298
3191,2016,0.0,0.0
3199,2016,0.04757785467128028,0.5212516913085679
3200,2016,0.0,0.05614181412039621
3205,2016,0.0,0.0
3211,2016,0.0,0.10665153763027278
3216,2016,0.0,0.05090008462949909
3222,2016,0.0,0.00582010676947679
3228,2016,0.0,0.05100945145428839
3233,2016,0.0,0.052300234190546774
3238,2016,0.0,0.002671694221331243
3245,2016,0.03693853427895981,0.5075773082784764
3246,2016,0.2940689198144467,0.08105532222679449
3254,2016,0.01438204538172497,0.4902853296284066
3255,2016,0.0,0.06678101104467307
3264,2016,0.02941514840922877,0.5190231251603998
3265,2016,0.0,0.07227514518501503
3271,2016,0.0,0.06883613767477566
3279,2016,0.0,0.08962742103283322
3299,2016,0.03095696080788651,0.1559626703635477
3307,2016,0.0,0.12270132325638439
3314,2016,0.04427390791027154,0.2503549798414872
3321,2016,0.0,0.09312278685912734
3329,2016,0.01438067237632622,0.17430003626257548
3338,2016,0.03424266636228741,0.13984780962953136
3350,2016,0.0,0.07714624597231332
3357,2016,0.02852685535992868,0.07993296685438406
3365,2016,0.0,0.047670355374970594
3372,2016,0.386786918903065,0.10508683584415496
3379,2016,0.0,0.013405013686392818
3382,2016,0.0,0.22521247317563076
3387,2016,1.0,0.008170379359149802
3388,2016,0.08130300416846341,0.39743263198554163
3392,2016,0.0,0.06399902431002191
3398,2016,0.0,0.03364142790392548
3406,2016,0.0,0.015265354342019926
3408,2016,0.0,0.04983423740247891
3413,2016,0.005813052239962796,0.25069151126973327
3414,2016,0.0,0.10553216932555792
3418,2016,0.0,0.0198966215974525
3422,2016,0.0,0.013253863976332525
3423,2016,0.0,0.07923341969224926
3428,2016,0.0,0.014397010693172764
3434,2016,0.03540763034433921,0.5182112548567246
3435,2016,0.0,0.11867778562494072
3439,2016,0.1691761123329386,0.5296296520693636
3443,2016,0.0,0.003101516477716441
3451,2016,0.0,0.018331818115611326
3452,2016,0.01855976243504083,0.39301607239018893
3456,2016,0.0,0.06558209155401987
3461,2016,0.0,0.003873482431206891
3462,2016,0.4977246871444823,0.14831349500059252
3466,2016,0.0,0.04032911206334981
3470,2016,0.0,0.00860538395361075
3471,2016,0.0,0.07734631150014859
3475,2016,0.0,0.04886519064150976
3479,2016,0.0,0.08918696688461022
3483,2016,0.0,0.048107962999668234
3489,2016,0.03599325730918738,0.2719620052416987
3490,2016,0.02170390317984688,0.09087628675632584
3494,2016,0.0,0.025374849836811247
3499,2016,0.02632687447346251,0.49403787648272
3500,2016,0.0,0.10403189692755593
3504,2016,0.0,0.012638865925074934
3509,2016,0.2429697415002338,0.3102271701554667
3510,2016,0.0,0.08224974087585794
3514,2016,0.0,0.07019384242849143
3520,2016,0.0,0.12489669104650618
3524,2016,0.0,0.023134494774233932
3530,2016,0.01796259002628255,0.1444974286036495
3531,2016,0.0,0.054800242624966015
3535,2016,0.0,0.0029016874393477604
3538,2016,0.0,0.005733816469653857
3541,2016,0.0,0.1419741536637931
3545,2016,0.0,0.038650428661367545
3548,2016,0.2224489795918367,0.6277546986728304
3549,2016,0.0,0.10516673402298454
