,year,actual,predicted
805,2016,0.904962485191523,0.5311608493311266
821,2016,1.0,0.4045526243073049
828,2016,0.9727733686067019,0.5246442261517467
834,2016,1.0,0.4312356204622091
849,2016,0.372357046141027,0.3519988922962803
860,2016,0.1607663749668523,0.3518632069759962
869,2016,0.0003702574378185303,0.2675868094112059
880,2016,0.1338369568450168,0.28417796701040265
900,2016,0.9254689042448174,0.37754870083813796
908,2016,0.4367592970984879,0.4891867448678053
923,2016,0.3306025369978858,0.510935411665792
927,2016,0.1363074271153414,0.3899653708041873
932,2016,0.5215896383088813,0.48620113548206045
936,2016,0.1131563065781533,0.2729356792417935
944,2016,1.0,0.5302887360832799
950,2016,0.2665333019534008,0.3566077711591209
969,2016,1.0,0.3527692157942258
976,2016,0.5473809418917133,0.2491864098061179
989,2016,0.02577483107572249,0.3489749856182275
1002,2016,1.0,0.42588819936533845
1009,2016,0.5097671410090556,0.4447414296918415
1015,2016,0.5479217217006013,0.3684926733148986
1023,2016,0.169442504147385,0.2627441038665749
1062,2016,0.6428386721401558,0.4059765228813058
1067,2016,0.5229361068777127,0.5067765974944944
1072,2016,0.2934638219426898,0.5299175244878067
1076,2016,0.2753303964757709,0.25539812052582633
1078,2016,0.1432263485556419,0.6078197241490447
1082,2016,0.1474117407412122,0.31425494041830077
1083,2016,1.0,0.8041524784496971
1087,2016,0.6745500784206002,0.7383550997596937
1092,2016,0.6041941633670626,0.6555431373448659
1096,2016,0.4019467663880333,0.501277270059863
1097,2016,0.5622404194527084,0.46646436854564594
1101,2016,0.08341675008341674,0.3867898412249596
1103,2016,0.5271472427006073,0.560366270132315
1104,2016,0.6673930809043858,0.6435440710625544
1107,2016,0.6673930809043858,0.3403338015974729
1109,2016,1.0,0.673026198252614
1113,2016,0.3040595926062544,0.5511067142889221
1117,2016,0.08092281434835064,0.39970715385627903
1119,2016,0.1028322952168292,0.33784903896400925
1122,2016,0.01311372219890894,0.4109173178849426
1124,2016,1.0,0.6189606210561749
1127,2016,1.0,0.40858655672370225
1128,2016,1.0,0.5317854760513279
1133,2016,0.0630841309256893,0.5649572461528147
1136,2016,0.01406334128916641,0.34820705270822644
